date,price
12/29/2018,69.8395
12/28/2018,69.6895
12/27/2018,69.402
12/26/2018,69.062
12/25/2018,68.8148
12/24/2018,68.3649
12/21/2018,68.6436
12/20/2018,68.4105
12/19/2018,67.5685
12/18/2018,66.9401
12/17/2018,66.7463
12/14/2018,66.7484
12/13/2018,66.3461
12/12/2018,66.3282
12/11/2018,66.4701
12/10/2018,66.4371
12/7/2018,66.144
12/6/2018,67.0093
12/5/2018,66.8169
12/4/2018,66.5917
12/3/2018,66.6295
11/30/2018,66.9269
11/29/2018,66.2049
11/28/2018,67.367
11/27/2018,67.0631
11/26/2018,67.077
11/23/2018,66.2845
11/22/2018,65.5713
11/21/2018,65.886
11/20/2018,66.0478
11/19/2018,65.8437
11/16/2018,65.8579
11/15/2018,66.3238
11/14/2018,67.0663
11/13/2018,68.0113
11/12/2018,67.6478
11/9/2018,67.5194
11/8/2018,66.4965
11/7/2018,66.1649
11/6/2018,66.0158
11/2/2018,66.0121
11/1/2018,65.6933
10/31/2018,65.8098
10/30/2018,65.55
10/29/2018,65.6049
10/26/2018,65.7752
10/25/2018,65.5403
10/24/2018,65.4214
10/23/2018,65.6213
10/22/2018,65.1325
10/19/2018,65.544
10/18/2018,65.7197
10/17/2018,65.33
10/16/2018,65.315
10/15/2018,65.6308
10/12/2018,66.3249
10/11/2018,66.3198
10/10/2018,66.6135
10/9/2018,66.3979
10/8/2018,66.7515
10/5/2018,66.5975
10/4/2018,66.8994
10/3/2018,65.6871
10/2/2018,65.3098
10/1/2018,65.3756
9/28/2018,65.4168
9/27/2018,65.6247
9/26/2018,65.8736
9/25/2018,65.8646
9/24/2018,65.8229
9/21/2018,66.5051
9/20/2018,66.3074
9/19/2018,66.7882
9/18/2018,67.395
9/17/2018,68.011
9/14/2018,67.9192
9/13/2018,68.4718
9/12/2018,68.8261
9/11/2018,69.6693
9/10/2018,70.5195
9/7/2018,69.6254
9/6/2018,69.3362
9/5/2018,68.4145
9/4/2018,68.0098
9/3/2018,68.1048
8/31/2018,67.6556
8/30/2018,68.2713
8/29/2018,68.185
8/28/2018,67.6703
8/27/2018,67.2079
8/24/2018,67.4683
8/23/2018,68.1963
8/22/2018,67.9243
8/21/2018,67.3391
8/20/2018,67.1979
8/17/2018,67.4823
8/16/2018,66.7876
8/15/2018,67.681
8/14/2018,66.4964
8/13/2018,67.9418
8/10/2018,67.8088
8/9/2018,66.3037
8/8/2018,64.8555
8/7/2018,63.4951
8/6/2018,63.6337
8/3/2018,63.2197
8/2/2018,63.3698
8/1/2018,62.8684
7/31/2018,62.3324
7/30/2018,62.2149
7/27/2018,62.7101
7/26/2018,62.881
7/25/2018,62.9886
7/24/2018,62.7479
7/23/2018,63.0437
7/20/2018,63.531
7/19/2018,63.5812
7/18/2018,63.151
7/17/2018,62.4811
7/16/2018,62.2813
7/13/2018,62.1495
7/12/2018,62.1231
7/11/2018,62.0332
7/10/2018,61.9647
7/9/2018,62.657
7/6/2018,62.9627
7/5/2018,63.1005
7/4/2018,63.2513
7/3/2018,63.1885
7/2/2018,63.4416
6/29/2018,62.6669
6/28/2018,63.0045
6/27/2018,63.1143
6/26/2018,63.1125
6/25/2018,62.8971
6/22/2018,62.9723
6/21/2018,63.695
6/20/2018,63.507
6/19/2018,63.7967
6/18/2018,63.6137
6/15/2018,63.1015
6/14/2018,62.2185
6/13/2018,62.3341
6/11/2018,62.665
6/9/2018,62.542
6/8/2018,62.5117
6/7/2018,62.295
6/6/2018,61.9343
6/5/2018,62.2711
6/4/2018,62.0455
6/1/2018,62.1005
5/31/2018,62.3795
